epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,242.17,1.36007,0.61892,0.93418,0.97648,0.9868,0.99031,0.62404,1.29309,0.58105,0.8991,0.0011684,0.0011684,0.0011684
44,247.76,1.29559,0.61089,0.93413,0.96816,0.9901,0.98975,0.62214,1.24186,0.6005,0.88367,0.0011486,0.0011486,0.0011486
45,253.337,1.42412,0.64505,0.93577,0.97087,0.98988,0.98993,0.59923,1.25289,0.65406,0.88933,0.0011288,0.0011288,0.0011288
46,258.881,1.41047,0.63876,0.92242,0.97217,0.9934,0.98823,0.59521,1.27931,0.62278,0.89196,0.001109,0.001109,0.001109
47,264.57,1.35665,0.62612,0.94427,0.96775,0.9903,0.98829,0.59885,1.2698,0.60617,0.89122,0.0010892,0.0010892,0.0010892
48,270.255,1.41891,0.63098,0.91628,0.97084,0.98896,0.98861,0.59619,1.2667,0.59541,0.88918,0.0010694,0.0010694,0.0010694
49,275.763,1.39488,0.6143,0.92324,0.97024,0.9901,0.98654,0.56881,1.34798,0.60481,0.91165,0.0010496,0.0010496,0.0010496
50,281.5,1.42982,0.61521,0.93297,0.97083,0.98844,0.98675,0.58145,1.29917,0.58893,0.89963,0.0010298,0.0010298,0.0010298
51,286.984,1.38781,0.59706,0.92929,0.97406,0.99143,0.99034,0.61777,1.25285,0.56635,0.88471,0.00101,0.00101,0.00101
52,292.472,1.31741,0.58226,0.92465,0.9753,0.9835,0.98967,0.60671,1.32422,0.58118,0.90575,0.0009902,0.0009902,0.0009902
53,298.136,1.37237,0.60202,0.93258,0.98034,0.98729,0.9913,0.59098,1.36844,0.62121,0.91472,0.0009704,0.0009704,0.0009704
54,303.632,1.41031,0.61317,0.92324,0.97411,0.99342,0.99027,0.60283,1.26871,0.56397,0.88849,0.0009506,0.0009506,0.0009506
55,309.097,1.35863,0.59856,0.91299,0.97056,0.9934,0.98984,0.58216,1.31133,0.58033,0.89648,0.0009308,0.0009308,0.0009308
56,314.516,1.3186,0.5926,0.89195,0.97321,0.9934,0.99154,0.57119,1.33649,0.59449,0.90278,0.000911,0.000911,0.000911
57,320.025,1.31448,0.58641,0.91094,0.97404,0.9905,0.99062,0.60577,1.22583,0.56781,0.88706,0.0008912,0.0008912,0.0008912
58,325.52,1.29922,0.56232,0.91436,0.97818,0.9868,0.99061,0.59631,1.26393,0.57138,0.89172,0.0008714,0.0008714,0.0008714
59,331.438,1.29214,0.56136,0.92472,0.97935,0.9868,0.99018,0.58625,1.29931,0.57861,0.89851,0.0008516,0.0008516,0.0008516
60,336.973,1.30754,0.55824,0.91453,0.97419,0.99638,0.98942,0.59824,1.2643,0.57721,0.89064,0.0008318,0.0008318,0.0008318
61,342.592,1.2751,0.56259,0.89523,0.97333,0.9934,0.9906,0.60358,1.23396,0.57505,0.88273,0.000812,0.000812,0.000812
62,348.3,1.26293,0.55217,0.91991,0.97408,0.9924,0.99065,0.62986,1.24289,0.55409,0.88597,0.0007922,0.0007922,0.0007922
63,353.929,1.34224,0.5686,0.91943,0.98052,0.9901,0.99098,0.60739,1.33912,0.57849,0.90951,0.0007724,0.0007724,0.0007724
64,359.51,1.41688,0.59283,0.91622,0.98056,0.9868,0.991,0.60669,1.32316,0.57361,0.90557,0.0007526,0.0007526,0.0007526
65,365.153,1.33041,0.56341,0.91747,0.97405,0.99112,0.99092,0.63475,1.22514,0.55551,0.87839,0.0007328,0.0007328,0.0007328
66,370.785,1.28775,0.5561,0.92329,0.97713,0.98722,0.99113,0.60851,1.2496,0.56989,0.88629,0.000713,0.000713,0.000713
67,376.34,1.30876,0.57678,0.90754,0.96959,0.9901,0.9904,0.58278,1.32918,0.57368,0.9026,0.0006932,0.0006932,0.0006932
68,381.911,1.35767,0.57233,0.9061,0.97075,0.9868,0.99038,0.60091,1.30584,0.57625,0.89769,0.0006734,0.0006734,0.0006734
69,387.437,1.29278,0.57732,0.90004,0.9771,0.98595,0.99068,0.61829,1.26158,0.57223,0.88917,0.0006536,0.0006536,0.0006536
